x,next,prev,y,line,postal,name,prefecture
139.776714,日暮里,null,35.713701,JR常磐線,1100005,上野,東京都
139.771191,三河島,上野,35.727988,JR常磐線,1160013,日暮里,東京都
139.777285,南千住,日暮里,35.733352,JR常磐線,1160013,三河島,東京都
139.799806,北千住,三河島,35.734649,JR常磐線,1160003,南千住,東京都
139.804638,松戸,南千住,35.748844,JR常磐線,1200026,北千住,東京都
139.900828,柏,北千住,35.784732,JR常磐線,2710092,松戸,千葉県
139.971025,我孫子,松戸,35.86219,JR常磐線,2770005,柏,千葉県
140.010473,天王台,柏,35.872829,JR常磐線,2701151,我孫子,千葉県
140.04232,取手,我孫子,35.872465,JR常磐線,2701176,天王台,千葉県
140.062822,藤代,天王台,35.895298,JR常磐線,3020014,取手,茨城県
140.118149,佐貫,取手,35.920558,JR常磐線,3001514,藤代,茨城県
140.137966,牛久,藤代,35.929785,JR常磐線,3010033,佐貫,茨城県
140.141041,ひたち野うしく,佐貫,35.975331,JR常磐線,3001221,牛久,茨城県
140.158247,荒川沖,牛久,36.007262,JR常磐線,3001202,ひたち野うしく,茨城県
140.165985,土浦,ひたち野うしく,36.030597,JR常磐線,3000871,荒川沖,茨城県
140.206237,神立,荒川沖,36.078595,JR常磐線,3000035,土浦,茨城県
140.248609,高浜,土浦,36.120432,JR常磐線,3000011,神立,茨城県
140.29466,石岡,神立,36.163773,JR常磐線,3150044,高浜,茨城県
140.279961,羽鳥,高浜,36.191202,JR常磐線,3150014,石岡,茨城県
140.286771,岩間,石岡,36.247537,JR常磐線,3190123,羽鳥,茨城県
140.276501,友部,羽鳥,36.29544,JR常磐線,3190202,岩間,茨城県
140.306024,内原,岩間,36.35046,JR常磐線,3091734,友部,茨城県
140.352632,赤塚,友部,36.370041,JR常磐線,3190315,内原,茨城県
140.456338,水戸,赤塚,36.373028,JR常磐線,3100033,偕楽園,茨城県
140.477566,勝田,偕楽園,36.370883,JR常磐線,3100015,水戸,茨城県